source,target,weight
0,4,25
0,13,89
0,16,96
0,26,11
0,1,29
0,31,35
1,3,61
1,6,23
1,11,60
1,14,58
1,17,77
1,19,30
1,23,80
1,27,55
1,2,40
2,11,47
2,12,10
2,13,62
2,17,1
2,27,77
2,3,69
3,11,27
3,16,65
3,18,11
3,19,57
3,23,42
3,24,94
3,26,85
3,31,69
3,4,96
4,11,85
4,12,100
4,14,47
4,15,30
4,16,15
4,19,20
4,21,26
4,22,98
4,23,97
4,26,64
4,28,85
4,29,67
4,31,71
4,5,59
5,10,91
5,13,87
5,17,13
5,20,4
5,28,91
5,30,6
5,6,8
6,8,32
6,9,45
6,10,59
6,13,45
6,22,2
6,23,9
6,25,76
6,7,62
7,11,17
7,13,98
7,14,100
7,26,65
7,29,12
7,8,69
8,12,51
8,14,5
8,17,86
8,18,97
8,21,7
8,23,68
8,26,76
8,27,63
8,31,89
8,9,75
9,14,2
9,15,22
9,16,38
9,22,40
9,31,93
9,10,32
10,12,45
10,13,81
10,19,5
10,20,37
10,22,58
10,25,10
10,27,81
10,28,61
10,29,21
10,31,22
10,11,5
11,15,49
11,12,27
12,13,53
12,14,58
12,16,95
12,17,88
12,27,39
12,31,27
13,19,94
13,21,31
13,22,56
13,24,15
13,25,2
13,26,97
13,29,92
13,14,56
14,15,43
14,25,87
14,27,79
15,16,26
15,17,51
15,18,23
15,24,44
15,25,80
15,27,27
15,28,45
15,29,14
15,30,51
16,18,60
16,19,22
16,17,73
17,18,4
17,29,60
17,30,36
18,19,62
18,20,73
18,26,33
18,28,19
18,29,90
18,31,1
19,20,68
19,26,26
19,31,67
20,22,81
20,23,65
20,26,54
20,21,59
21,27,92
21,31,41
21,22,51
22,31,94
22,23,21
23,29,91
23,30,71
23,24,82
24,30,29
24,31,67
24,25,92
25,26,31
26,27,67
27,29,21
27,28,97
28,29,97
29,30,11
30,31,55
